feature,importance_rf
consumption_rates.ecav_scale_factors.computing,0.27662112893758556
consumption_rates.sti_scale_factors.sensing,0.2211390974147606
initial_data.f_clean,0.16173158914646343
growth_rates.sti,0.06153603963623627
consumption_rates.ecav_scale_factors.sensing,0.05276152678636651
growth_rates.cav,0.032205607662525525
consumption_rates.sti_levels[2],0.024036741090618288
growth_rates.efficiency_doubling,0.022047840378474785
consumption_rates.sti_scale_factors.communication,0.01866612199558324
consumption_rates.ecav_scale_factors.communication,0.013134153093762795
growth_rates.ev,0.011632325075831958
consumption_rates.sti_scale_factors.Highly,0.011569317364602772
consumption_rates.cav_levels[0],0.0095291675022252
growth_rates.clean_energy,0.00829096733175074
consumption_rates.ecav_scale_factors.L3,0.008234115536984755
growth_rates.total_car_increase,0.008088918313084096
emission_factors.e_gasoline,0.006365800538625614
consumption_rates.sti_levels[0],0.006081287179514328
consumption_rates.sti_scale_factors.Semi,0.005657425585869872
consumption_rates.cohort_decay_factor,0.005639897774791237
consumption_rates.sti_scale_factors.Basic,0.005522555752159074
growth_rates.retire_year,0.005069850257687869
consumption_rates.ecav_scale_factors.L4,0.004608570591746876
consumption_rates.cav_levels[1],0.0044495204678257246
emission_factors.e_clean,0.0033273242960003093
emission_factors.e_fossil,0.0032635189968339092
consumption_rates.ecav_scale_factors.L5,0.002689704724228187
consumption_rates.cav_levels[2],0.0024672583145690344
consumption_rates.sti_scale_factors.computing,0.0018900780884150688
consumption_rates.sti_levels[1],0.0017425501648763505
