outer_draw_id,region,policy,cum_emis_mean,cum_emis_p50,cum_emis_p05,cum_emis_p95,peak_year_mean,peak_emis_mean,turning_year_mean,annual_emis_2030_p50,annual_emis_2030_mean,annual_emis_2035_p50,annual_emis_2035_mean,annual_emis_2045_p50,annual_emis_2045_mean,annual_emis_2055_p50,annual_emis_2055_mean,annual_emis_2075_p50,annual_emis_2075_mean
0,ohio,baseline,142262844268.29352,143078108143.5082,119363279086.24635,163786948145.36166,2036.35,2924128837.562684,,1564495264.3200336,1558013423.3460178,2785299336.473953,2793703732.830476,1980259616.869403,1962188143.1176972,1765042231.2248397,1757268959.3054626,2547048851.1636543,2539513092.4234133
1,ohio,baseline,139402288852.04456,140598743991.52246,120871211184.56107,157377069153.9273,2080.5,2833557128.1401305,,1108651973.543242,1085543018.7987232,2041265288.277428,1996355478.6411796,1911523658.0273595,1936379440.7368069,1753418015.832116,1752846494.1691823,2666476818.5119295,2643806776.5546746
2,ohio,baseline,143131971836.99225,141570463127.69397,130361813151.39348,160648915783.34705,2079.0,2946156560.5619707,,1406026117.1604204,1394092170.3737597,2366334473.154089,2390128905.7580347,1714615218.3377445,1729612135.0427527,1734946829.8817983,1744177864.1947124,2756385004.4170322,2784805136.2047873
3,ohio,baseline,191636529713.69452,185553796590.72766,163638945714.2733,226262945968.43576,2038.85,4010813934.880132,,1863543489.4115822,1887053593.6370473,3263336453.257601,3282061168.493028,2842450104.077087,2886978831.230196,2259337045.9078574,2339655246.871751,3286699723.361182,3407978636.1063824
4,ohio,baseline,94460630929.85977,94701593556.85806,83301916577.96228,105598549599.14851,2035.6,2146055848.434806,2055.4375,1276552353.4476113,1288973559.3869367,2130367155.7120726,2105984291.6166732,1233055733.510105,1225618744.9392993,1103451465.6031473,1121439788.8117282,1648936135.4318342,1658313885.6902313
5,ohio,baseline,169792268779.02374,168067387701.7288,146266650773.551,189668260949.81436,2040.0,3413608412.482436,,1661297251.265559,1675881148.293228,2897605316.1452236,2933531816.523923,2415804692.553482,2442013358.0167737,2036830878.2825603,2039970027.5297036,3046347823.5340014,3064991679.898399
6,ohio,baseline,220001395677.12173,216955842756.29932,195630665880.97308,250283773408.32364,2041.6,5081720525.776579,2086.25,1685776884.9110906,1685424353.6444402,3398020436.7140274,3478007709.4845324,4710763262.960559,4742291051.076034,3577649399.617295,3625094950.520261,3469810479.5889297,3578986994.2496367
7,ohio,baseline,75114066400.22731,75554885787.51254,65269924050.194954,85115599423.19098,2036.4,1987457084.0326672,2079.75,1175573026.3726156,1186676357.7886882,1916529503.868098,1881161372.0797572,1219145416.2743266,1228204451.5989335,1163808681.0087643,1166573390.706482,1285068231.8228312,1277120531.7590394
8,ohio,baseline,76558782760.00328,77312137770.27362,64083868250.61296,88833279945.3795,2081.5,1790739357.434138,,458945790.0417022,450255888.15028906,712007240.0748957,711257247.247598,826606913.0282279,821236203.776418,965934132.9898136,954713414.054044,1665438018.5472584,1635532988.8024664
9,ohio,baseline,133076909766.84013,133014085602.31567,108503960656.6105,150145096331.3444,2085.4,3067309220.1673436,,1123871386.3244298,1112463010.9486737,1749434577.7242057,1752190331.7219505,1290119294.832184,1270526214.4231107,1562297138.428043,1571209291.3921103,2680000955.098522,2698291723.3129473
10,ohio,baseline,117369579896.78625,117353181676.2564,100774609190.4001,135120553648.24117,2034.75,2901527551.115965,2049.55,1699007810.9674602,1706334978.2174392,2851897743.296543,2864942181.335938,1732819455.086514,1750640931.0584073,1284775057.8677444,1296257915.7840352,1760502159.5484,1771974717.8282936
11,ohio,baseline,102487805772.01364,101291031584.39075,88113667440.97807,119825827895.62482,2036.85,2194262731.636454,2089.2,1117715101.2686656,1125157126.4298139,2037652351.5903978,2000631777.4670327,1518119003.3019295,1524667021.0798767,1395621164.360539,1389667331.9436061,1862392928.1071315,1852548662.3031497
12,ohio,baseline,34260664783.15811,34544314626.8241,29930041300.408127,38261603856.37104,2037.05,1103390865.8820662,2048.15,663905490.2284391,658895859.8634417,1027964608.2066008,1011834141.2162482,641431743.6139832,630765486.9300408,495815701.4636313,503263764.3717276,478838963.8509316,478238970.94486445
13,ohio,baseline,48653801566.51145,48229251762.79634,44289693229.442955,53316476634.83063,2037.4,2018290702.419828,2048.8,1103328217.6563315,1129249875.6381028,1777438547.224062,1802664250.7244866,1247503173.0938063,1264064517.1082585,766691831.7079239,774507585.0230843,48021942.6938028,47947402.09160154
14,ohio,baseline,178788718523.55325,177443790601.43262,162296694384.18726,200648692010.69876,2085.5,3760214508.374196,,1990415613.3100939,2011561300.5472095,3283858870.777983,3269726751.2787566,2035738087.6906314,2041809440.7747715,1861772296.4584067,1896276838.2650704,3262370829.917634,3276549926.504746
15,ohio,baseline,243055282859.75772,244363491987.93896,217380741136.1352,267815778961.86285,2084.8,4962839617.867901,,2458800957.9475317,2407574045.8125753,4035071753.248028,4066634508.051019,2945101140.130082,2931773117.824227,2865303600.3066278,2875256506.747825,4491484165.925756,4481801011.773837
16,ohio,baseline,137560597849.19943,138013380887.6354,124834667943.67487,151944957986.27557,2086.75,2801834408.602486,,1086797513.985746,1087275596.7306309,2079604314.2677224,2085551410.0647595,2009965514.175829,1989530548.8462913,1714521471.13651,1711983537.223525,2498534575.0336795,2474327353.8329835
17,ohio,baseline,70384109383.07135,70211518414.8689,62223293229.80301,77562506373.14616,2035.65,2344255130.2333417,2047.85,1399549282.7053747,1401415347.7364016,2284942140.5642285,2304471082.254362,1309405868.191524,1297314441.6233075,1076071916.0688741,1086770342.9301915,906929408.0974703,914691500.2580055
18,ohio,baseline,213819725623.7563,215378221456.54645,188715453318.20697,236680853018.45322,2081.85,4570198511.210493,,1413266465.3089142,1424180371.2134476,2667463161.83698,2636006733.35662,2884197825.973816,2864181503.6421323,2687562564.0611105,2679638693.150634,4187698312.5945053,4193125342.442071
19,ohio,baseline,122590347215.93234,122404657724.65088,108827600600.32576,138058982717.18335,2068.7,2787869057.9469514,2083.9,1099703287.1598027,1119177846.1376154,1997496201.3851843,1999959540.3648963,1811993242.0754762,1827907733.7651641,2169176530.1414814,2178764072.690059,2503026121.8358507,2542312743.4820833
20,ohio,baseline,185769218946.68634,188308362922.90283,158405811247.62997,213211113442.40524,2035.55,4752663661.607979,2049.45,2660052987.8672857,2620249158.862973,4697477552.120215,4693483131.309157,2899519248.2938175,2828079383.7430067,2137806519.7763855,2124745608.1965976,2961999892.5423927,2886057065.9164853
21,ohio,baseline,315736568718.0592,312096422607.694,281117645852.1484,351093201295.56104,2088.55,8317482135.02981,,1611047897.403213,1618442480.7617593,2751630715.6633825,2758917264.8040733,2909778819.1043844,2932388212.069281,3625667875.4998217,3651985175.488328,6730982200.128141,6679204968.621851
22,ohio,baseline,408036202791.65625,406933655317.6864,362756352581.0268,448548913378.5922,2087.9,8139498438.601402,,3312604399.293164,3329461093.680446,6512508454.500195,6516297063.300077,5925785325.65332,5957891081.932944,5226683363.866216,5256769389.340392,7076486752.207512,7100612231.853076
23,ohio,baseline,53797965891.57857,54552757316.705,47526425396.89453,57933844329.028404,2037.85,2145990264.4267247,2057.9,1083980121.9155726,1075089390.3408008,1887714660.6807702,1862193585.3189673,1534281912.0211463,1525577967.779059,1149785210.2523406,1142532283.40412,67476208.27594054,67285157.91995136
24,ohio,baseline,82227208070.47658,80220284226.02042,75720678844.14464,92840294939.659,2040.95,1681380049.2504506,,687486069.1262653,702147500.6686227,1220668541.8020587,1248589082.9573495,1397199751.3885987,1431352387.1871662,1006001336.165095,1015312382.2886171,1312507179.6197376,1352837055.1955125
25,ohio,baseline,224625530133.43604,224509441160.00024,197582808002.88626,252790124429.80862,2037.75,4460999911.60925,,2102669472.9729116,2064541253.4438312,3905601101.025534,3916934860.6354895,3524928787.248877,3476530346.8176155,2970387369.8716364,3015996945.468988,3960967275.123369,4013613346.229621
26,ohio,baseline,158982212566.77414,159767477019.72552,134313870465.65857,179579794070.31577,2089.3,4097735628.3780518,,842976516.7750108,838145299.329876,1323372043.6840239,1306648026.5333025,1610380699.7673504,1623084826.9812932,1834974089.1433167,1842636696.717971,3440708074.938991,3349140783.818502
27,ohio,baseline,68931305889.8882,68289288272.28225,60945501245.136116,79109925149.99567,2076.4,1597207972.5519748,2091.85,456076140.42215633,464563493.7382391,725016565.2958288,730779221.2542195,709842298.2498573,714988361.9794651,1019230300.8835783,1047302642.8748535,1552103828.2775946,1547190866.4438198
28,ohio,baseline,94024743655.21823,94823965591.70961,84442625010.4962,103084062141.92586,2076.2,1936207859.3610318,2090.0,765778397.489253,758164452.3864516,1360287195.9062247,1355184103.8626215,1391371858.6283894,1377837422.1057086,1323901378.0691743,1310887160.6897674,1908344263.3892403,1877690216.1085064
29,ohio,baseline,237270833512.17416,240753921273.40594,201739056420.12567,258202632861.69995,2042.3,4721262545.312904,,2251106600.750982,2222475896.7789526,4226904958.246868,4138618091.839625,3599240779.1792107,3577675257.4074416,2863972215.959635,2840387320.9828377,4102339858.9097266,4059067733.230235
30,ohio,baseline,280640653368.173,285185609157.6915,237447198442.6628,307981191003.21204,2037.05,5961252591.246028,,2843216781.994611,2845366550.071921,5627623057.111342,5565932096.402769,4538391036.624598,4433361946.832785,3366171622.665263,3341611973.4496145,4588355853.771849,4528929209.877813
