year,n,p05,p50,p95,mean,abs_width,rel_width,ratio_p95_p50,ratio_p05_p50
2024,800,483806.7414988132,1397187.884861862,3474072.054828491,1606299.4879571977,2990265.313329678,2.140202721286351,2.486474505303893,0.3462717840175421
2025,800,75793881.25469032,150685965.0747199,261071237.911369,154709449.6170509,185277356.65667868,1.2295594786469073,1.73255178597365,0.5029923073267426
2026,800,175951969.74820924,364688279.1590209,669770666.9837842,380741418.63845,493818697.23557496,1.3540843658982724,1.8365566026094666,0.4824722367111943
2027,800,276177227.01171815,611563836.7791888,1187798463.991014,647446973.4098605,911621236.9792958,1.4906395410499818,1.9422313625452,0.4515918214952182
2028,800,391237426.9591499,864419051.0707892,1757259771.3250864,934807296.083399,1366022344.3659365,1.5802779250107826,2.0328795034633966,0.45260157845261395
2029,800,471538836.67322725,1127624947.1412258,2384554965.896654,1229840954.2875757,1913016129.2234268,1.6965003604020452,2.1146702828294273,0.4181699224273821
2030,800,562496178.0536067,1376907214.7510872,2972373914.14325,1516915935.036175,2409877736.0896435,1.7502106970405362,2.158732180570777,0.40852148353024137
2031,800,662799929.8491988,1596669230.1079345,3609863251.559715,1800225253.309921,2947063321.710516,1.845756945858658,2.260871058005977,0.41511411214731914
2032,800,707715871.4668067,1792135012.840333,4148232966.876573,2066182809.7479784,3440517095.409766,1.9197867742994053,2.3146877535203605,0.39490097922095524
2033,800,786864278.6210182,1995380556.0620365,4790127306.935061,2325465340.387167,4003263028.314043,2.006265429495135,2.400608391408088,0.39434296191295276
2034,800,817109528.920225,2183125288.189397,5255402858.932142,2549500450.4246964,4438293330.011917,2.032999825535837,2.4072841294833696,0.37428430394753265
2035,800,890010980.4360063,2347178968.978907,5744596249.677447,2740581998.4572606,4854585269.241441,2.0682637895964664,2.447447052653389,0.379183263056923
2036,800,925829479.125705,2436086434.2972198,6062777322.661729,2895345981.9489675,5136947843.536024,2.1086886619513434,2.48873653960097,0.38004787764962666
2037,800,925369521.6748445,2457904169.7614713,6192604504.328734,2982644049.7998486,5267234982.65389,2.142978171181121,2.519465396785465,0.37648722560434383
2038,800,920643510.8283377,2457217450.01458,6217772802.472939,3010385758.3293176,5297129291.644601,2.155742989540128,2.5304121140911016,0.37466912455097334
2039,800,880880051.1422464,2396691350.9845686,6187823354.146763,2980577862.871925,5306943303.004517,2.214278989584707,2.581819036316372,0.3675400467316653
2040,800,853319865.8186821,2322990828.9551487,6202182171.863528,2929467868.353778,5348862306.044847,2.3025757309815535,2.6699124656696083,0.36733673468805483
2041,800,804839321.2126441,2234241603.37274,6108936992.765629,2840967831.345014,5304097671.552984,2.3740036276945555,2.7342329421955855,0.36022931450102996
2042,800,751673494.4801033,2138578160.5925798,6038687472.094471,2739114372.3614717,5287013977.6143675,2.4722098425195673,2.8236926680394077,0.35148282551984056
2043,800,737911896.7125368,2045166632.8508976,5922263458.2293215,2628102485.1607604,5184351561.516785,2.5349286841678826,2.8957363977593715,0.3608077135914891
2044,800,701259313.4777434,1976499511.826119,5775858659.187959,2525127937.1952577,5074599345.710216,2.5674680491176614,2.922266676327965,0.3547986272103042
2045,800,684068624.2935628,1892534879.4310613,5536051835.269889,2429374399.539485,4851983210.976326,2.563748369295546,2.9252046529964884,0.3614562837009425
2046,800,695034337.9356467,1843213715.7501836,5359208573.036725,2339990527.5434484,4664174235.101078,2.5304576432162507,2.907535098747646,0.3770774555313947
2047,800,689938378.0915936,1798496302.9611893,5147089881.320929,2262077298.4861016,4457151503.229335,2.4782655910333102,2.8618851608681903,0.3836195698348801
2048,800,700497309.6417248,1745512478.8362746,4922625806.038205,2198115282.232656,4222128496.3964806,2.4188475004265535,2.820160764086945,0.40131326366039116
2049,800,703670165.6326362,1721288015.1566186,4797145267.610891,2149451716.859453,4093475101.9782553,2.3781465193120472,2.786950949155597,0.40880442984354937
2050,800,720849500.6114726,1713215634.5795078,4695368623.723032,2108034223.3333602,3974519123.1115594,2.3199176115895455,2.740675796409869,0.4207581848203236
2051,800,744896272.4652365,1714818948.0919924,4539856192.092088,2079100879.2246108,3794959919.626851,2.2130382474775807,2.6474259554592607,0.4343877079816803
2052,800,751759183.4717655,1721166735.3330247,4453247135.530736,2059533051.4584851,3701487952.0589705,2.150569073915304,2.5873420884288048,0.43677301451350053
2053,800,747447766.2621095,1735441739.3692527,4227653124.8734193,2042996879.9434888,3480205358.61131,2.005371473822102,2.4360674455196416,0.43069597169754015
2054,800,765838180.6380167,1749620157.1110523,4152483761.7191725,2043037406.9337842,3386645581.081156,1.935646184297017,2.3733630095892893,0.4377168252922724
2055,800,776219281.3665718,1762775008.5533063,4066370675.7135377,2044226777.8347008,3290151394.346966,1.866461334193275,2.3068007295217847,0.4403393953285099
2056,800,787808588.3108555,1797336488.504951,4018070798.087585,2051192286.5363207,3230262209.7767296,1.7972495581301562,2.23556959077255,0.4383200326423938
2057,800,792920945.1839459,1814493111.2055829,4035747668.338171,2064664387.1235003,3242826723.1542253,1.7871805096022828,2.224173596149255,0.43699308654697205
