year,n,p05,p50,p95,mean,abs_width,rel_width,ratio_p95_p50,ratio_p05_p50
2024,800,290544.6362708261,867900.556162802,2042029.6438527384,982728.6620268892,1751485.0075819124,2.0180710740936156,2.352838270874079,0.33476719678046307
2025,800,86076084.58399786,148231911.72569382,212891477.660369,149739471.86134294,126815393.07637115,0.8555201886018013,1.4362054376950155,0.5806852490932143
2026,800,177923454.44975808,336695057.72926885,484040871.87466604,332721763.49517345,306117417.4249079,0.9091829844174668,1.4376239293178923,0.5284409449004254
2027,800,266220581.54753882,540108627.5717174,824749171.1316679,532323331.6822911,558528589.5841291,1.0341041802928168,1.5270061040122063,0.49290192371938957
2028,800,344496602.97044927,739299159.0531301,1192766891.7914062,738414038.2404469,848270288.820957,1.1473978814035084,1.6133751502153235,0.4659772688118151
2029,800,421149637.33532244,938730123.4967192,1562935705.2185152,945285120.5541506,1141786067.8831928,1.2163091812054576,1.6649467893889074,0.44863760818344967
2030,800,493303338.47899544,1098030316.336333,1975643366.6065178,1142598632.8267183,1482340028.1275225,1.349999181328135,1.799261220034809,0.44926203870667425
2031,800,559279674.6593903,1263887184.3923652,2370179163.0997744,1334909333.911406,1810899488.440384,1.4328015275437767,1.8753091196500085,0.44250759210623164
2032,800,589505511.7487886,1414173045.7877827,2728646706.1455283,1514519957.0732093,2139141194.3967397,1.5126445810633482,1.9294998686850955,0.41685528762174734
2033,800,635920306.3502275,1548005445.249085,3138121303.6779313,1685565341.1283185,2502200997.327704,1.6164032271379267,2.0272030135998556,0.41079978646192905
2034,800,693413136.1352841,1680744501.812375,3446565078.4382505,1838870630.6761684,2753151942.3029666,1.6380550043948956,2.050618089020527,0.4125630846256317
2035,800,694500899.4611393,1807495900.5475135,3715125920.692063,1967756790.225672,3020625021.2309237,1.6711656277150824,2.0553993619386377,0.38423373422355545
2036,800,727072747.415736,1875364686.3688173,3886989606.7037745,2075136530.7106829,3159916859.2880383,1.684961267670258,2.072657992846167,0.3876967251759089
2037,800,695535328.4652642,1911395703.8004112,3979224039.0039887,2139383050.990038,3283688710.5387244,1.7179533803543636,2.0818420963760316,0.36388871602166806
2038,800,687344698.5339576,1925030212.9921908,4053868083.991061,2167721630.208931,3366523385.4571037,1.748815869349039,2.1058724463809266,0.3570565770318878
2039,800,689302450.0809128,1877929941.8018105,4224897594.5955677,2160199545.0491924,3535595144.514655,1.882708755962627,2.249763157054688,0.36705440109206117
2040,800,680189104.1103569,1822211326.7440143,4253211592.0815845,2135348148.6949608,3573022487.9712276,1.9608167480528282,2.3340934883120057,0.3732767402591777
2041,800,658240227.6748974,1757337603.4487948,4302124457.702728,2092856458.6207044,3643884230.027831,2.0735254414841333,2.4480921874429593,0.37456674595882633
2042,800,656989354.436649,1688367584.7999954,4175777639.5571103,2036992173.5927289,3518788285.1204615,2.0841363674589255,2.4732633326715843,0.38912696521265905
2043,800,631558588.6144617,1636577745.4767594,4124894994.8848166,1976982092.6947558,3493336406.270355,2.1345374003315034,2.5204393780163334,0.3859019776848299
2044,800,634205691.8023694,1589580079.0580988,3995799125.5907397,1922291145.6792328,3361593433.78837,2.1147682196547612,2.513745094212831,0.39897687455806957
2045,800,627816483.00791,1549558396.0475535,3892953819.999584,1870663440.533846,3265137336.9916744,2.107140553928161,2.512298878137998,0.4051583242098372
2046,800,624029169.5782431,1505509384.8281386,3817853664.4928436,1822721727.1316376,3193824494.9146004,2.12142450063783,2.5359215312554633,0.4144970306176332
2047,800,633060600.2600012,1492051588.7021215,3674243508.295229,1781927925.8951638,3041182908.035228,2.038255869343389,2.462544550146093,0.4242886808027036
2048,800,645070569.8934016,1472089184.0795274,3601765520.622578,1751318909.6058905,2956694950.7291765,2.0085025980120546,2.446703338068951,0.43820074005689635
2049,800,652209027.4709495,1444886521.723947,3514669289.8989935,1724312787.6983373,2862460262.428044,1.9810969369502718,2.4324881138108427,0.45139117686057106
2050,800,661567454.0449917,1445670761.3793807,3470419574.6986456,1706740230.5691311,2808852120.653654,1.942940395345341,2.400560118811118,0.4576197234657772
2051,800,676542537.0122048,1447365267.3738184,3365318493.8980393,1693488022.1394775,2688775956.8858347,1.857703799790983,2.325134207486037,0.467430407695054
2052,800,682166543.7311845,1448091382.5586936,3305458693.215985,1687272453.892008,2623292149.4848003,1.8115515229775037,2.2826312848954537,0.47107976191795004
2053,800,694803990.1042128,1439758250.3230057,3245878391.6294656,1684047531.984882,2551074401.525253,1.7718769112473753,2.254460699149501,0.4825837879021255
2054,800,708096734.7110524,1454790565.9205246,3196928058.363336,1690660962.360005,2488831323.6522837,1.710783243963,2.197517727467848,0.4867344835048482
2055,800,723504688.9791678,1450043115.56254,3130603216.998318,1696323552.5431652,2407098528.0191503,1.6600185899198752,2.1589725046098436,0.4989539146899685
