region,policy,target,rank,feature,method,score
ohio,baseline,cum_emis_mean,1,growth_rates.efficiency_doubling,rf_importance,0.22111288009305868
ohio,baseline,cum_emis_mean,2,growth_rates.cav,rf_importance,0.20096713375553196
ohio,baseline,cum_emis_mean,3,consumption_rates.ecav_scale_factors.sensing,rf_importance,0.06503405343156464
ohio,baseline,cum_emis_mean,4,consumption_rates.cav_levels[0],rf_importance,0.03667988549463151
ohio,baseline,cum_emis_mean,5,consumption_rates.sti_levels[1],rf_importance,0.028198721011671268
ohio,baseline,peak_emis_mean,1,growth_rates.cav,rf_importance,0.236598615218726
ohio,baseline,peak_emis_mean,2,growth_rates.efficiency_doubling,rf_importance,0.23212545453809735
ohio,baseline,peak_emis_mean,3,growth_rates.clean_energy,rf_importance,0.06018928631868547
ohio,baseline,peak_emis_mean,4,consumption_rates.sti_levels[0],rf_importance,0.0477074030182152
ohio,baseline,peak_emis_mean,5,consumption_rates.cav_levels[2],rf_importance,0.044223179032728856
ohio,baseline,peak_year_mean,1,consumption_rates.sti_scale_factors.Semi,rf_importance,0.2878018983401334
ohio,baseline,peak_year_mean,2,emission_factors.e_gasoline,rf_importance,0.17008150061515057
ohio,baseline,peak_year_mean,3,growth_rates.ev,rf_importance,0.09023982350423647
ohio,baseline,peak_year_mean,4,consumption_rates.cohort_decay_factor,rf_importance,0.06397443609902013
ohio,baseline,peak_year_mean,5,growth_rates.total_car_increase,rf_importance,0.047500954559464584
ohio,baseline,turning_year_mean,1,consumption_rates.ecav_scale_factors.L3,rf_importance,0.6655488707135031
ohio,baseline,turning_year_mean,2,consumption_rates.ecav_scale_factors.sensing,rf_importance,0.14365232634998515
ohio,baseline,turning_year_mean,3,consumption_rates.ecav_scale_factors.computing,rf_importance,0.04595218398288751
ohio,baseline,turning_year_mean,4,consumption_rates.cav_levels[2],rf_importance,0.030612098866324843
ohio,baseline,turning_year_mean,5,emission_factors.e_fossil,rf_importance,0.023411417448393014
