feature,importance_rf
growth_rates.efficiency_doubling,0.22111288009305868
growth_rates.cav,0.20096713375553196
consumption_rates.ecav_scale_factors.sensing,0.06503405343156464
consumption_rates.cav_levels[0],0.03667988549463151
consumption_rates.sti_levels[1],0.028198721011671268
consumption_rates.sti_levels[0],0.027086287480147082
growth_rates.clean_energy,0.02513827966866424
growth_rates.sti,0.024665389512863328
consumption_rates.sti_scale_factors.Semi,0.024402180094510596
consumption_rates.ecav_scale_factors.L3,0.023855783039540324
consumption_rates.sti_scale_factors.sensing,0.0238386504716482
emission_factors.e_fossil,0.023318864630605673
consumption_rates.cav_levels[2],0.023010856118094603
consumption_rates.ecav_scale_factors.L4,0.02290919216050223
consumption_rates.cohort_decay_factor,0.022296403358074944
growth_rates.ev,0.021990460120044783
emission_factors.e_gasoline,0.02034763582133216
growth_rates.total_car_increase,0.0191940798992989
consumption_rates.ecav_scale_factors.communication,0.016434941894802244
emission_factors.e_clean,0.015511149975093088
consumption_rates.ecav_scale_factors.computing,0.014809198890619582
consumption_rates.ecav_scale_factors.L5,0.014093826647327196
initial_data.f_clean,0.011797355985391571
consumption_rates.sti_levels[2],0.011661282954264903
consumption_rates.sti_scale_factors.communication,0.011563659550137917
consumption_rates.sti_scale_factors.Highly,0.011548190824064474
consumption_rates.sti_scale_factors.Basic,0.011459255552189266
consumption_rates.cav_levels[1],0.010016885988457227
consumption_rates.sti_scale_factors.computing,0.009799044823966025
growth_rates.retire_year,0.007258470751901502
