feature,importance_rf
growth_rates.cav,0.236598615218726
growth_rates.efficiency_doubling,0.23212545453809735
growth_rates.clean_energy,0.06018928631868547
consumption_rates.sti_levels[0],0.0477074030182152
consumption_rates.cav_levels[2],0.044223179032728856
consumption_rates.ecav_scale_factors.sensing,0.03550869563123944
consumption_rates.ecav_scale_factors.communication,0.03398280059591952
consumption_rates.cav_levels[0],0.03241263666367498
growth_rates.ev,0.024074333575971923
consumption_rates.ecav_scale_factors.L5,0.022321680369204913
consumption_rates.sti_levels[1],0.01922566297958348
consumption_rates.ecav_scale_factors.L3,0.01798891222776081
emission_factors.e_fossil,0.017589465591743913
consumption_rates.sti_scale_factors.Semi,0.017006978908293037
consumption_rates.sti_scale_factors.sensing,0.01670564758597582
consumption_rates.sti_scale_factors.Highly,0.015324612508669422
growth_rates.total_car_increase,0.015241370264727432
consumption_rates.ecav_scale_factors.computing,0.013295578560230507
growth_rates.sti,0.01230719841114907
consumption_rates.cohort_decay_factor,0.012039842578804562
emission_factors.e_gasoline,0.01197784631077984
consumption_rates.ecav_scale_factors.L4,0.011468617313053785
initial_data.f_clean,0.007966913398951893
consumption_rates.sti_scale_factors.communication,0.007483117067328221
emission_factors.e_clean,0.00740777973059709
consumption_rates.sti_scale_factors.Basic,0.00730674593862131
consumption_rates.sti_scale_factors.computing,0.006556442695039833
consumption_rates.sti_levels[2],0.0062313778784638075
growth_rates.retire_year,0.004780866341904151
consumption_rates.cav_levels[1],0.002950938745858488
