feature,importance_rf
consumption_rates.ecav_scale_factors.L3,0.6655488707135031
consumption_rates.ecav_scale_factors.sensing,0.14365232634998515
consumption_rates.ecav_scale_factors.computing,0.04595218398288751
consumption_rates.cav_levels[2],0.030612098866324843
emission_factors.e_fossil,0.023411417448393014
consumption_rates.sti_scale_factors.Basic,0.013226389962048786
emission_factors.e_clean,0.012263830646326737
consumption_rates.sti_levels[2],0.010381303614822915
consumption_rates.cav_levels[1],0.007661834022177602
consumption_rates.sti_scale_factors.communication,0.006414859246952106
consumption_rates.sti_levels[1],0.0055088707025428
consumption_rates.ecav_scale_factors.L4,0.005157910216422277
consumption_rates.cohort_decay_factor,0.0033449950969534873
consumption_rates.ecav_scale_factors.communication,0.0031378336053862308
consumption_rates.cav_levels[0],0.0031362224861004114
consumption_rates.ecav_scale_factors.L5,0.0031233461527987736
growth_rates.efficiency_doubling,0.0030285703459171595
initial_data.f_clean,0.0023022869285948583
consumption_rates.sti_scale_factors.Semi,0.001915859614011563
growth_rates.sti,0.0014773573139320077
growth_rates.cav,0.0013105518412886024
growth_rates.clean_energy,0.001276640425322872
consumption_rates.sti_scale_factors.Highly,0.0010122549435449036
growth_rates.ev,0.001001446328230104
growth_rates.retire_year,0.000930415425287133
emission_factors.e_gasoline,0.0007991861553693768
consumption_rates.sti_levels[0],0.0007875433777632582
consumption_rates.sti_scale_factors.sensing,0.0006687718786282807
consumption_rates.sti_scale_factors.computing,0.0005508687797254625
growth_rates.total_car_increase,0.0004039535287587278
